jlpt,kanji,kana
3,下着,したぎ
3,支度,したく
3,,しっかり
3,失敗,しっぱい
3,失礼,しつれい
3,辞典,じてん
3,品物,しなもの
3,,しばらく
3,島,しま
3,,しまう
3,事務所,じむしょ
3,社会,しゃかい
3,社長,しゃちょう
3,,じゃま
3,,ジャム
3,自由,じゆう
3,習慣,しゅうかん
3,住所,じゅうしょ
3,柔道,じゅうどう
3,十分,じゅうぶん
3,出席,しゅっせき
3,出発,しゅっぱつ
3,趣味,しゅみ
3,準備,じゅんび
3,紹介,しょうかい
3,正月,しょうがつ
3,小学校,しょうがっこう
3,小説,しょうせつ
3,招待,しょうたい
3,承知,しょうち
3,将来,しょうらい
3,食事,しょくじ
3,食料品,しょくりょうひん
3,女性,じょせい
3,知らせる,しらせる
3,調べる,しらべる
3,人口,じんこう
3,神社,じんじゃ
3,親切,しんせつ
3,心配,しんぱい
3,新聞社,しんぶんしゃ
3,水泳,すいえい
3,水道,すいどう
3,,ずいぶん
3,数学,すうがく
3,,スーツケース
3,過ぎる,すぎる
3,,すく
3,,すく
3,,すくない
3,,すごい
3,,すっかり
3,,すっと
3,,ステレオ
3,捨てる,すてる
3,砂,すな
3,,すばらしい
3,,すべる
3,隅,すみ
3,済む,すむ
3,,すり
3,,すると
3,生活,せいかつ
3,政治,せいじ
3,西洋,せいよう
3,世界,せかい
3,席,せき
3,説明,せつめい
3,背中,せなか
3,,ぜひ
3,世話,せわ
3,線,せん
3,,ぜんぜん
3,戦争,せんそう
3,先輩,せんぱい
3,専門,せんもん
3,,そう
3,相談,そうだん
3,育てる,そだてる
3,卒業,そつぎょう
3,祖父,そふ
3,祖母,そぼ
3,,それで
3,,それに
3,,それほど
3,,そろそろ
3,,そんな
3,退院,たいいん
3,大学生,だいがくせい
3,大事,だいじ
3,,だいたい
3,,タイプ
3,,だいぶ
3,台風,たいふう
3,倒れる,たおれる
3,,だから
3,確か,たしか
3,足す,たす
3,訪ねる,たずねる
3,正しい,ただしい
3,畳,たたみ
3,立てる,たてる
3,建てる,たてる
3,例えば,たとえば
3,棚,たな
3,楽む,たのしむ
3,,たまに
3,,ため
3,,だめ
3,足りる,たりる
3,男性,だんせい
3,暖房,だんぼう
3,血,ち
3,小さな,ちいさな
3,力,ちから
3,,ちっとも
3,注意,ちゅうい
3,中学校,ちゅうがっこう
3,注射,ちゅうしゃ
3,駐車場,ちゅうしゃじょう
3,地理,ちり
3,捕まえる,つかまえる
3,,つき
3,,つく
3,,つける
3,漬ける,つける
3,都合,つごう
3,伝える,つたえる
3,続く,つづく
3,続ける,つづける
3,包む,つつむ
3,妻,つま
3,,つもり
3,釣る,つる
3,連れる,つれる
3,丁寧,ていねい
3,,テキスト
3,適当,てきとう
3,,できる
3,,できるだけ
3,手伝う,てつだう
3,,テニスコート
3,手袋,てぶくろ
3,寺,てら
3,点,てん
3,店員,てんいん
3,天気予報,てんきよほう
3,電灯,でんとう
3,電報,でんぽう
3,展覧会,てんらんかい
3,道具,どうぐ
3,,とうとう
3,動物園,どうぶつえん
3,遠く,とおく
3,通り,とおり
3,通る,とおる
3,特に,とくに
3,特別,とくべつ
3,,とこや
3,年,とし
3,途中,とちゅう
3,特急,とっきゅう
3,,どっち
3,届ける,とどける
3,泊まる,とまる
3,止める,とめる
3,取り替える,とりかえる
3,泥棒,どろぼう
3,直す,なおす
3,直る,なおる
3,治る,なおる
3,,なかなか
3,泣く,なく
3,無くす,なくす
3,無くなる,なくなる
3,亡くなる,なくなる
3,投げる,なげる
3,,なさる
3,,なぜ
3,鳴る,なる
3,,なるべく
3,,なるほど
3,慣れる,なれる
3,苦い,にがい
3,逃げる,にげる
3,日記,にっき
3,入院,にゅういん
3,入学,にゅうがく
3,似る,にる
3,人形,にんぎょう
3,盗む,ぬすむ
3,塗る,ぬる
3,,ぬれる
3,,ねだん
3,熱,ねつ
3,,ねっしん
3,眠い,ねむい
3,眠る,ねむる
3,残る,のこる
3,,のど
3,乗り換える,のりかえる
3,乗り物,のりもの
3,葉,は
3,場合,ばあい
3,倍,ばい
3,拝見,はいけん
3,歯医者,はいしゃ
3,運ぶ,はこぶ
3,始める,はじめる
3,,はず
3,恥ずかしい,はずかしい
3,発音,はつおん
3,,はっきり
3,花見,はなみ
3,払う,はらう
3,番組,ばんぐみ
3,反対,はんたい
3,日,ひ
3,火,ひ
3,冷える,ひえる
3,引き出し,ひきだし
3,,ひげ
3,飛行場,ひこうじょう
3,久しぶり,ひさしぶり
3,美術館,びじゅつかん
3,非常に,ひじょうに
3,,びっくりする
3,引っ越す,ひっこす
3,必要,ひつよう
3,,ひどい
3,,ビル
3,昼間,ひるま
3,昼休み,ひるやすみ
3,拾う,ひろう
3,増える,ふえる
3,深い,ふかい
3,複雑,ふくざつ
3,復習,ふくしゅう
3,普通,ふつう
3,,ぶどう
3,太る,ふとる
3,布団,ふとん
3,舟,ふね
3,船,ふね
3,不便,ふべん
3,踏む,ふむ
3,,プレゼント
3,文化,ぶんか
3,文学,ぶんがく
3,文法,ぶんぽう
3,,べつに
3,,ベル
3,変,へん
3,返事,へんじ
3,貿易,ぼうえき
3,放送,ほうそう
3,法律,ほうりつ
3,僕,ぼく
3,星,ほし
3,,ほど
3,,ほとんど
3,,ほめる
3,翻訳,ほんやく
3,参る,まいる
3,負ける,まける
3,,まじめ
3,,まず
3,,または
3,間違える,まちがえる
3,間に合う,まにあう
3,周り,まわり
3,回る,まわる
3,漫画,まんが
3,真中,まんなか
3,見える,みえる
3,湖,みずうみ
3,,みそ
3,見つかる,みつかる
3,見つける,みつける
3,緑,みどり
3,皆,みな
3,港,みなと
3,迎える,むかえる
3,昔,むかし
3,虫,むし
3,息子,むすこ
3,娘,むすめ
3,村,むら
3,無理,むり
3,召し上がる,めしあがる
3,珍しい,めずらしい
3,申し上げる,もうしあげる
3,申す,もうす
3,,もうすぐ
3,,もし
3,戻る,もどる
3,木綿,もめん
3,,もらう
3,焼く,やく
3,役に立つ,やくにたつ
3,約束,やくそく
3,焼ける,やける
3,優しい,やさしい
3,,やせる
3,,やっと
3,,やはり
